number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,high_winds,pedestrian_in_carriageway,rushhour,nighttime,weekend
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Female,26 - 35,1,Pedestrian,False,True,True,False,False
1,1,A,Single carriageway,30,More than 4 arms (not roundabout),B,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Male,11 - 15,0,Pedestrian,False,True,False,True,True
2,2,A,Single carriageway,30,Crossroads,B,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
2,2,A,Single carriageway,30,Crossroads,B,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,26 - 35,0,Pedestrian,False,False,False,False,False
2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,21 - 25,1,Motorcycle rider,False,False,True,False,False
2,1,A,Roundabout,60,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,46 - 55,1,Car driver,False,False,False,False,False
2,3+,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,1,Car driver,False,False,False,True,True
2,3+,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,1,Car driver,False,False,False,True,True
2,3+,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,26 - 35,1,Car driver,False,False,False,True,True
2,2,A,Dual carriageway,40,T or staggered junction,Unclassified,Central refuge,Darkness - lights lit,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,True,False,False
2,2,A,Dual carriageway,40,T or staggered junction,Unclassified,Central refuge,Darkness - lights lit,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,True,False,False
2,2,A,Dual carriageway,50,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Male,16 - 20,0,Car driver,False,False,False,False,False
2,2,A,Dual carriageway,50,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Male,16 - 20,0,Car driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,46 - 55,1,Car driver,False,False,False,True,False
2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,56 - 65,0,Car driver,False,False,True,False,False
2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,56 - 65,0,Car driver,False,False,True,False,False
2,1,A,Roundabout,70,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,66 - 75,0,Car driver,False,False,False,False,True
3+,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,True
1,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,0 - 5,1,Pedestrian,False,True,False,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Central refuge,Darkness - lights lit,Urban,Non-trunk,Male,26 - 35,0,Car rear seat passenger,False,False,False,True,True
2,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,36 - 45,1,Car driver,False,False,False,True,False
2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,16 - 20,1,Motorcycle rider,False,False,True,False,False
2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,56 - 65,0,Cyclist,False,False,True,False,False
2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,26 - 35,0,Cyclist,False,False,True,False,False
2,1,Unclassified,Single carriageway,30,Other,B,Zebra,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,True,False,False
3+,1,A,Dual carriageway,50,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,66 - 75,0,Car driver,False,False,False,False,True
2,1,A,Dual carriageway,40,Crossroads,A,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
1,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Pedestrian,False,True,False,False,False
2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,21 - 25,0,Motorcycle rider,False,False,False,False,False
2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,21 - 25,0,Motorcycle rider,False,False,False,False,False
1,1,Unclassified,Single carriageway,30,Crossroads,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,26 - 35,0,Pedestrian,False,False,False,False,False
2,2,A,Dual carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,True,False
2,2,A,Dual carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,True,False
2,1,Unclassified,Single carriageway,50,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,21 - 25,0,Car front seat passenger,False,False,True,False,False
1,1,A,Dual carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,26 - 35,0,Large vehicle driver,False,False,False,True,False
2,2,C,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,6 - 10,1,Car rear seat passenger,False,False,True,False,False
2,2,C,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,6 - 10,1,Car rear seat passenger,False,False,True,False,False
2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,26 - 35,0,Cyclist,False,False,False,True,False
2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,False,True
1,1,B,Single carriageway,30,T or staggered junction,Unclassified,Central refuge,Daylight,Rural,Non-trunk,Male,26 - 35,0,Car driver,False,False,False,False,True
2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,True,False,False
2,1,B,Single carriageway,40,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,True,False,False
3+,1,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,36 - 45,0,Car driver,False,False,False,False,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,56 - 65,1,Large vehicle driver,False,False,True,False,False
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,56 - 65,1,Large vehicle driver,False,False,True,False,False
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,56 - 65,1,Large vehicle driver,False,False,True,False,False
1,3+,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,16 - 20,1,Car driver,False,False,False,True,True
1,3+,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,16 - 20,1,Car driver,False,False,False,True,True
1,3+,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,16 - 20,1,Car driver,False,False,False,True,True
2,1,Unclassified,One way street,30,More than 4 arms (not roundabout),A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Large vehicle passenger,False,False,False,False,True
1,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Female,56 - 65,1,Pedestrian,False,False,True,False,False
3+,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Male,46 - 55,0,Large vehicle driver,False,False,True,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,66 - 75,0,Pedestrian,False,True,False,False,True
2,1,Unclassified,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,1,Motorcycle rider,False,False,False,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Female,56 - 65,1,Pedestrian,False,False,False,False,True
2,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,21 - 25,0,Car driver,False,False,False,True,False
1,1,Unclassified,Single carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,11 - 15,0,Pedestrian,False,True,True,False,False
2,1,A,Dual carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Cyclist,False,False,True,False,False
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car front seat passenger,False,False,True,False,False
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car front seat passenger,False,False,True,False,False
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car front seat passenger,False,False,True,False,False
1,1,C,Single carriageway,30,Crossroads,A,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Male,11 - 15,1,Pedestrian,False,True,False,False,False
1,1,A,Roundabout,40,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Female,26 - 35,0,Large vehicle passenger,False,False,True,False,False
2,2,Unclassified,Single carriageway,30,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
2,2,Unclassified,Single carriageway,30,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,26 - 35,0,Car driver,False,False,True,False,False
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,46 - 55,0,Pedestrian,False,True,False,False,True
